name                                              b-only fit            s+b fit         rho
btag2016                                      ! +3.65, 0.62!     ! +3.60, 0.82!       -0.00
ew1                                              +0.02, 0.70        +0.02, 0.99       -0.00
ew2W                                             +0.42, 0.69        +0.43, 0.97       -0.01
ew2Z                                             -0.32, 0.70        -0.33, 0.98       +0.01
ew3W                                             +0.08, 0.70        +0.09, 0.99       -0.00
ew3Z                                             -0.28, 0.70        -0.28, 0.98       +0.01
hbb_norm                                         +0.01, 0.70        +0.01, 0.99       -0.01
id_e2016                                         +0.21, 0.63        +0.20, 0.88       -0.00
id_mu2016                                        -0.31, 0.62        -0.30, 0.87       -0.02
iso_mu2016                                       -0.31, 0.62        -0.30, 0.87       -0.02
jec2016                                          +0.52, 0.66        +0.48, 0.93       +0.07
lumi2016                                         +0.29, 0.69        +0.26, 0.98       +0.03
mix                                              +0.31, 0.70        +0.31, 0.98       -0.01
qcd1                                             +0.66, 0.69        +0.66, 0.97       -0.01
qcd2                                             -0.61, 0.69        -0.62, 0.97       -0.01
qcd3                                             -0.19, 0.70        -0.20, 0.98       +0.01
qcde_norm2016                                    -0.68, 0.59        -0.69, 0.74       -0.02
qcdmu_norm2016                                ! -1.95, 0.47!        -1.95, 0.53       -0.01
qcdsig_norm2016                                  -0.37, 0.60        -0.44, 0.76       +0.15
reco_e2016                                       +0.21, 0.63        +0.20, 0.88       -0.00
sr2016failrecoil0_wjetsMC_mcstat_bin2            +0.39, 0.94        +0.39, 0.97       -0.00
sr2016failrecoil0_wjetsMC_mcstat_bin7            +0.37, 0.94        +0.37, 0.97       -0.00
sr2016failrecoil0_zjetsMC_mcstat_bin2            +0.31, 0.95        +0.31, 0.98       -0.01
sr2016failrecoil0_zjetsMC_mcstat_bin7            +0.39, 0.95        +0.39, 0.98       -0.00
sr2016failrecoil1_wjetsMC_mcstat_bin0            -0.45, 0.94        -0.45, 0.97       -0.00
sr2016failrecoil1_wjetsMC_mcstat_bin4            -0.31, 0.94        -0.32, 0.97       +0.01
sr2016failrecoil1_zjetsMC_mcstat_bin9            -0.40, 0.95        -0.40, 0.98       -0.00
sr2016failrecoil2_wjetsMC_mcstat_bin0            -0.38, 0.95        -0.37, 0.98       -0.00
sr2016failrecoil2_wjetsMC_mcstat_bin10           -0.37, 0.95        -0.37, 0.98       +0.00
sr2016failrecoil2_wjetsMC_mcstat_bin2            -0.49, 0.95        -0.49, 0.98       +0.00
sr2016failrecoil3_wjetsMC_mcstat_bin4            +0.50, 0.94        +0.49, 0.97       +0.02
sr2016failrecoil3_wlfMC_mcstat_bin2              -0.37, 0.96        -0.38, 0.99       +0.00
sr2016failrecoil3_wlfMC_mcstat_bin4              -0.42, 0.96        -0.41, 0.99       -0.02
sr2016passrecoil0_whfMC_mcstat_bin1              +0.42, 0.94        +0.42, 0.97       -0.00
sr2016passrecoil0_whfMC_mcstat_bin8              -0.63, 0.96        -0.63, 0.99       -0.00
sr2016passrecoil0_wjetsMC_mcstat_bin0            -0.49, 0.88        -0.48, 0.90       -0.03
sr2016passrecoil0_wjetsMC_mcstat_bin1            -0.46, 0.87        -0.44, 0.89       -0.03
sr2016passrecoil0_wjetsMC_mcstat_bin2            +0.10, 0.89        +0.11, 0.91       -0.01
sr2016passrecoil0_wjetsMC_mcstat_bin3            -0.70, 0.89        -0.70, 0.91       +0.01
sr2016passrecoil0_wjetsMC_mcstat_bin4            +0.14, 0.90        +0.13, 0.92       +0.02
sr2016passrecoil0_wjetsMC_mcstat_bin5            -0.08, 0.89        -0.08, 0.91       +0.02
sr2016passrecoil0_wjetsMC_mcstat_bin6            +0.22, 0.90        +0.23, 0.92       -0.01
sr2016passrecoil0_wjetsMC_mcstat_bin7            +0.55, 0.91        +0.56, 0.94       -0.01
sr2016passrecoil0_wjetsMC_mcstat_bin8            +0.44, 0.93        +0.44, 0.96       -0.01
sr2016passrecoil0_wlfMC_mcstat_bin0              +0.04, 0.88        +0.05, 0.90       -0.02
sr2016passrecoil0_wlfMC_mcstat_bin1              +0.72, 0.87        +0.72, 0.90       -0.01
sr2016passrecoil0_wlfMC_mcstat_bin2              -0.13, 0.89        -0.14, 0.91       +0.00
sr2016passrecoil0_wlfMC_mcstat_bin3              +0.27, 0.88        +0.26, 0.91       +0.01
sr2016passrecoil0_wlfMC_mcstat_bin8              -1.00, 0.95        -1.00, 0.98       -0.00
sr2016passrecoil0_zhfMC_mcstat_bin7              +0.47, 0.95        +0.47, 0.98       -0.02
sr2016passrecoil0_zhfMC_mcstat_bin8              -0.43, 0.96        -0.43, 0.99       -0.00
sr2016passrecoil0_zlfMC_mcstat_bin7              +0.46, 0.96        +0.46, 0.98       -0.00
