# BEGIN DATA
Process=pp -> e+e-j
Proc=eej
Sqrt=13 TeV
Unit=pb/GeV
Timestamp=2017-10-16 14:01:56
# END DATA

# BEGIN HISTO1D eej_pTV_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 9.600464e+00 2.235203e-04 2.235203e-04
4.000000e+01 5.000000e+01 5.555323e+00 1.350928e-04 1.350928e-04
5.000000e+01 6.000000e+01 3.433540e+00 9.235422e-05 9.235422e-05
6.000000e+01 7.000000e+01 2.215217e+00 6.789789e-05 6.789789e-05
7.000000e+01 8.000000e+01 1.474895e+00 5.241649e-05 5.241649e-05
8.000000e+01 9.000000e+01 1.006676e+00 3.865319e-05 3.865319e-05
9.000000e+01 1.000000e+02 7.017447e-01 2.645487e-05 2.645487e-05
1.000000e+02 1.100000e+02 4.983829e-01 1.993510e-05 1.993510e-05
1.100000e+02 1.200000e+02 3.598882e-01 1.551819e-05 1.551819e-05
1.200000e+02 1.300000e+02 2.638036e-01 1.229030e-05 1.229030e-05
1.300000e+02 1.400000e+02 1.960969e-01 9.864241e-06 9.864241e-06
1.400000e+02 1.500000e+02 1.476538e-01 8.006989e-06 8.006989e-06
1.500000e+02 2.000000e+02 7.228774e-02 2.080782e-06 2.080782e-06
2.000000e+02 2.500000e+02 2.296566e-02 9.273578e-07 9.273578e-07
2.500000e+02 3.000000e+02 8.697438e-03 4.725712e-07 4.725712e-07
3.000000e+02 3.500000e+02 3.740339e-03 8.206022e-08 8.206022e-08
3.500000e+02 4.000000e+02 1.769246e-03 4.336499e-08 4.336499e-08
4.000000e+02 4.500000e+02 9.007952e-04 2.617721e-08 2.617721e-08
4.500000e+02 5.000000e+02 4.863083e-04 1.672786e-08 1.672786e-08
5.000000e+02 5.500000e+02 2.753043e-04 1.116738e-08 1.116738e-08
5.500000e+02 6.000000e+02 1.620929e-04 7.770607e-09 7.770607e-09
6.000000e+02 6.500000e+02 9.861379e-05 3.735438e-09 3.735438e-09
6.500000e+02 7.000000e+02 6.170439e-05 2.410969e-09 2.410969e-09
7.000000e+02 7.500000e+02 3.955167e-05 1.693493e-09 1.693493e-09
7.500000e+02 8.000000e+02 2.587926e-05 1.226274e-09 1.226274e-09
8.000000e+02 8.500000e+02 1.724466e-05 9.072993e-10 9.072993e-10
8.500000e+02 9.000000e+02 1.167665e-05 6.833354e-10 6.833354e-10
9.000000e+02 9.500000e+02 8.018840e-06 5.236761e-10 5.236761e-10
9.500000e+02 1.000000e+03 5.577697e-06 4.091604e-10 4.091604e-10
1.000000e+03 1.100000e+03 3.354958e-06 9.636473e-11 9.636473e-11
1.100000e+03 1.200000e+03 1.721541e-06 5.339455e-11 5.339455e-11
1.200000e+03 1.300000e+03 9.118063e-07 3.256647e-11 3.256647e-11
1.300000e+03 1.400000e+03 4.957984e-07 2.053177e-11 2.053177e-11
1.400000e+03 1.600000e+03 2.156244e-07 7.744461e-12 7.744461e-12
1.600000e+03 1.800000e+03 7.073949e-08 3.436876e-12 3.436876e-12
1.800000e+03 2.000000e+03 2.433585e-08 1.599979e-12 1.599979e-12
2.000000e+03 2.200000e+03 8.645362e-09 1.681969e-13 1.681969e-13
2.200000e+03 2.400000e+03 3.135862e-09 7.173821e-14 7.173821e-14
2.400000e+03 2.600000e+03 1.151201e-09 3.364252e-14 3.364252e-14
2.600000e+03 2.800000e+03 4.247094e-10 1.604337e-14 1.604337e-14
2.800000e+03 3.000000e+03 1.565261e-10 7.690070e-15 7.690070e-15
3.000000e+03 6.500000e+03 5.126954e-12 2.369589e-16 2.369589e-16
# END HISTO1D

# BEGIN HISTO1D eej_pTV_K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.011934e+00 2.366396e-05 2.366396e-05
4.000000e+01 5.000000e+01 1.012334e+00 2.476543e-05 2.476543e-05
5.000000e+01 6.000000e+01 1.011903e+00 2.737374e-05 2.737374e-05
6.000000e+01 7.000000e+01 1.011523e+00 3.117531e-05 3.117531e-05
7.000000e+01 8.000000e+01 1.011194e+00 3.613015e-05 3.613015e-05
8.000000e+01 9.000000e+01 1.010892e+00 3.902004e-05 3.902004e-05
9.000000e+01 1.000000e+02 1.010615e+00 3.829400e-05 3.829400e-05
1.000000e+02 1.100000e+02 1.010374e+00 4.061656e-05 4.061656e-05
1.100000e+02 1.200000e+02 1.010154e+00 4.377048e-05 4.377048e-05
1.200000e+02 1.300000e+02 1.009945e+00 4.727790e-05 4.727790e-05
1.300000e+02 1.400000e+02 1.009752e+00 5.103260e-05 5.103260e-05
1.400000e+02 1.500000e+02 1.009580e+00 5.500094e-05 5.500094e-05
1.500000e+02 2.000000e+02 1.005890e+00 2.908540e-05 2.908540e-05
2.000000e+02 2.500000e+02 1.008705e+00 4.098232e-05 4.098232e-05
2.500000e+02 3.000000e+02 1.010944e+00 5.534345e-05 5.534345e-05
3.000000e+02 3.500000e+02 1.012796e+00 2.240808e-05 2.240808e-05
3.500000e+02 4.000000e+02 1.014365e+00 2.510505e-05 2.510505e-05
4.000000e+02 4.500000e+02 1.015735e+00 2.983439e-05 2.983439e-05
4.500000e+02 5.000000e+02 1.016943e+00 3.538673e-05 3.538673e-05
5.000000e+02 5.500000e+02 1.018032e+00 4.180766e-05 4.180766e-05
5.500000e+02 6.000000e+02 1.019026e+00 4.949204e-05 4.949204e-05
6.000000e+02 6.500000e+02 1.019942e+00 3.915115e-05 3.915115e-05
6.500000e+02 7.000000e+02 1.020793e+00 4.045125e-05 4.045125e-05
7.000000e+02 7.500000e+02 1.021593e+00 4.439041e-05 4.439041e-05
7.500000e+02 8.000000e+02 1.022351e+00 4.919118e-05 4.919118e-05
8.000000e+02 8.500000e+02 1.023076e+00 5.468913e-05 5.468913e-05
8.500000e+02 9.000000e+02 1.023774e+00 6.090458e-05 6.090458e-05
9.000000e+02 9.500000e+02 1.024445e+00 6.804519e-05 6.804519e-05
9.500000e+02 1.000000e+03 1.025096e+00 7.651982e-05 7.651982e-05
1.000000e+03 1.100000e+03 1.025992e+00 2.999122e-05 2.999122e-05
1.100000e+03 1.200000e+03 1.027223e+00 3.245896e-05 3.245896e-05
1.200000e+03 1.300000e+03 1.028429e+00 3.745720e-05 3.745720e-05
1.300000e+03 1.400000e+03 1.029622e+00 4.351877e-05 4.351877e-05
1.400000e+03 1.600000e+03 1.031231e+00 3.784556e-05 3.784556e-05
1.600000e+03 1.800000e+03 1.033618e+00 5.140741e-05 5.140741e-05
1.800000e+03 2.000000e+03 1.036056e+00 6.986260e-05 6.986260e-05
2.000000e+03 2.200000e+03 1.038562e+00 2.075674e-05 2.075674e-05
2.200000e+03 2.400000e+03 1.041139e+00 2.452042e-05 2.452042e-05
2.400000e+03 2.600000e+03 1.043785e+00 3.146402e-05 3.146402e-05
2.600000e+03 2.800000e+03 1.046506e+00 4.085351e-05 4.085351e-05
2.800000e+03 3.000000e+03 1.049305e+00 5.337329e-05 5.337329e-05
3.000000e+03 6.500000e+03 1.053638e+00 5.052045e-05 5.052045e-05
# END HISTO1D

# BEGIN HISTO1D eej_pTV_d1K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 1.134276e-01 2.366396e-05 2.366396e-05
4.000000e+01 5.000000e+01 1.103406e-01 2.476543e-05 2.476543e-05
5.000000e+01 6.000000e+01 1.084105e-01 2.737374e-05 2.737374e-05
6.000000e+01 7.000000e+01 1.066807e-01 3.117531e-05 3.117531e-05
7.000000e+01 8.000000e+01 1.051198e-01 3.613015e-05 3.613015e-05
8.000000e+01 9.000000e+01 1.036999e-01 3.902004e-05 3.902004e-05
9.000000e+01 1.000000e+02 1.024011e-01 3.829400e-05 3.829400e-05
1.000000e+02 1.100000e+02 1.012103e-01 4.061656e-05 4.061656e-05
1.100000e+02 1.200000e+02 1.001118e-01 4.377048e-05 4.377048e-05
1.200000e+02 1.300000e+02 9.909273e-02 4.727790e-05 4.727790e-05
1.300000e+02 1.400000e+02 9.814909e-02 5.103260e-05 5.103260e-05
1.400000e+02 1.500000e+02 9.727394e-02 5.500094e-05 5.500094e-05
1.500000e+02 2.000000e+02 9.999546e-02 2.908540e-05 2.908540e-05
2.000000e+02 2.500000e+02 1.150550e-01 4.098232e-05 4.098232e-05
2.500000e+02 3.000000e+02 1.266082e-01 5.534345e-05 5.534345e-05
3.000000e+02 3.500000e+02 1.359046e-01 2.240808e-05 2.240808e-05
3.500000e+02 4.000000e+02 1.436429e-01 2.510505e-05 2.510505e-05
4.000000e+02 4.500000e+02 1.502667e-01 2.983439e-05 2.983439e-05
4.500000e+02 5.000000e+02 1.560557e-01 3.538673e-05 3.538673e-05
5.000000e+02 5.500000e+02 1.612086e-01 4.180766e-05 4.180766e-05
5.500000e+02 6.000000e+02 1.658553e-01 4.949204e-05 4.949204e-05
6.000000e+02 6.500000e+02 1.701037e-01 3.915115e-05 3.915115e-05
6.500000e+02 7.000000e+02 1.740322e-01 4.045125e-05 4.045125e-05
7.000000e+02 7.500000e+02 1.776945e-01 4.439041e-05 4.439041e-05
7.500000e+02 8.000000e+02 1.811380e-01 4.919118e-05 4.919118e-05
8.000000e+02 8.500000e+02 1.843985e-01 5.468913e-05 5.468913e-05
8.500000e+02 9.000000e+02 1.875096e-01 6.090458e-05 6.090458e-05
9.000000e+02 9.500000e+02 1.904930e-01 6.804519e-05 6.804519e-05
9.500000e+02 1.000000e+03 1.933726e-01 7.651982e-05 7.651982e-05
1.000000e+03 1.100000e+03 1.972899e-01 2.999122e-05 2.999122e-05
1.100000e+03 1.200000e+03 2.026071e-01 3.245896e-05 3.245896e-05
1.200000e+03 1.300000e+03 2.077161e-01 3.745720e-05 3.745720e-05
1.300000e+03 1.400000e+03 2.126747e-01 4.351877e-05 4.351877e-05
1.400000e+03 1.600000e+03 2.192559e-01 3.784556e-05 3.784556e-05
1.600000e+03 1.800000e+03 2.287465e-01 5.140741e-05 5.140741e-05
1.800000e+03 2.000000e+03 2.380813e-01 6.986260e-05 6.986260e-05
2.000000e+03 2.200000e+03 2.473540e-01 2.075674e-05 2.075674e-05
2.200000e+03 2.400000e+03 2.565934e-01 2.452042e-05 2.452042e-05
2.400000e+03 2.600000e+03 2.658137e-01 3.146402e-05 3.146402e-05
2.600000e+03 2.800000e+03 2.749906e-01 4.085351e-05 4.085351e-05
2.800000e+03 3.000000e+03 2.840936e-01 5.337329e-05 5.337329e-05
3.000000e+03 6.500000e+03 2.976003e-01 5.052045e-05 5.052045e-05
# END HISTO1D

# BEGIN HISTO1D eej_pTV_d2K_LO
# xlow   xhigh   val   errminus  errplus
3.000000e+01 4.000000e+01 -1.129454e-01 -2.356336e-05 -2.356336e-05
4.000000e+01 5.000000e+01 -1.095080e-01 -2.457856e-05 -2.457856e-05
5.000000e+01 6.000000e+01 -1.071351e-01 -2.705169e-05 -2.705169e-05
6.000000e+01 7.000000e+01 -1.048781e-01 -3.064853e-05 -3.064853e-05
7.000000e+01 8.000000e+01 -1.027094e-01 -3.530171e-05 -3.530171e-05
8.000000e+01 9.000000e+01 -1.006051e-01 -3.785554e-05 -3.785554e-05
9.000000e+01 1.000000e+02 -9.854858e-02 -3.685330e-05 -3.685330e-05
1.000000e+02 1.100000e+02 -9.653007e-02 -3.873834e-05 -3.873834e-05
